provincia,fecha,num_casos,num_casos_prueba_pcr,num_casos_prueba_test_ac,num_casos_prueba_ag,num_casos_prueba_elisa,num_casos_prueba_desconocida,num_hosp,num_uci,num_def,tmed,prec,tmin,tmax,wd,ws,ws_max,sol,mob_grocery_pharmacy,mob_parks,mob_residential,mob_retail_recreation,mob_transit_stations,mob_workplaces,mob_flujo
Málaga,2020-01-21,0,0,0,0,0,0,0,0,0,11,42.6,7.5,14.4,28,4.2,11.4,0.4,NA,NA,NA,NA,NA,NA,NA
Asturias,2020-01-21,0,0,0,0,0,0,0,0,0,6.8,2,5.1,8.4,8,4.4,11.7,0,NA,NA,NA,NA,NA,NA,NA
Sevilla,2020-01-21,0,0,0,0,0,0,1,0,0,9.6,2.1,6.2,13,3,2.5,8.3,4.4,NA,NA,NA,NA,NA,NA,NA
Barcelona,2020-01-22,0,0,0,0,0,0,0,0,0,12.4,10.4,10,14.9,8,8.1,16.9,0,NA,NA,NA,NA,NA,NA,NA
Madrid,2020-01-22,0,0,0,0,0,0,1,0,0,7.6,1.1,3.6,11.6,4,3.1,11.4,1.3,NA,NA,NA,NA,NA,NA,NA
Málaga,2020-01-22,0,0,0,0,0,0,0,0,0,11.2,1.3,8.8,13.5,11,0.6,12.8,0.4,NA,NA,NA,NA,NA,NA,NA
Asturias,2020-01-22,0,0,0,0,0,0,0,0,0,7,11.4,3.7,10.2,7,2.8,8.3,0,NA,NA,NA,NA,NA,NA,NA
Sevilla,2020-01-22,0,0,0,0,0,0,0,0,0,10.1,8.8,8.7,11.5,8,2.8,6.1,0,NA,NA,NA,NA,NA,NA,NA
Barcelona,2020-01-23,0,0,0,0,0,0,1,0,0,11.6,0.1,8.5,14.7,9,2.8,16.1,4,NA,NA,NA,NA,NA,NA,NA
Madrid,2020-01-23,2,2,0,0,0,0,4,0,0,5.7,0.6,-0.2,11.6,99,1.1,4.7,5.9,NA,NA,NA,NA,NA,NA,NA
Málaga,2020-01-23,0,0,0,0,0,0,0,0,0,11.9,16.8,9.1,14.7,11,6.7,16.4,0,NA,NA,NA,NA,NA,NA,NA
Asturias,2020-01-23,0,0,0,0,0,0,0,0,0,7.6,0,3.4,11.7,99,3.1,8.3,6.2,NA,NA,NA,NA,NA,NA,NA
Sevilla,2020-01-23,0,0,0,0,0,0,0,0,0,11,12.2,9.6,12.3,29,1.7,8.9,0,NA,NA,NA,NA,NA,NA,NA
Barcelona,2020-01-24,0,0,0,0,0,0,2,0,0,10.8,0,6.2,15.4,24,4.2,9.2,5.4,NA,NA,NA,NA,NA,NA,NA
Madrid,2020-01-24,1,1,0,0,0,0,4,1,0,7.4,4.7,5.7,9.2,17,1.9,6.1,0,NA,NA,NA,NA,NA,NA,NA
Málaga,2020-01-24,0,0,0,0,0,0,0,0,0,12.7,70.6,9.6,15.8,10,4.4,11.7,0.1,NA,NA,NA,NA,NA,NA,NA
Asturias,2020-01-24,0,0,0,0,0,0,0,0,0,9.2,0.2,5.4,13,23,2.5,7.8,2.3,NA,NA,NA,NA,NA,NA,NA
Sevilla,2020-01-24,0,0,0,0,0,0,1,0,0,12.1,21.3,9.7,14.5,12,3.3,9.7,0.4,NA,NA,NA,NA,NA,NA,NA
Barcelona,2020-01-25,0,0,0,0,0,0,0,0,0,11,0,7.8,14.3,3,3.3,7.2,0.9,NA,NA,NA,NA,NA,NA,NA
Madrid,2020-01-25,1,1,0,0,0,0,1,0,0,8.2,3.7,6.1,10.4,18,2.5,10.3,2.1,NA,NA,NA,NA,NA,NA,NA
Málaga,2020-01-25,0,0,0,0,0,0,0,0,0,11,10.1,8.1,14,10,1.4,15.6,0,NA,NA,NA,NA,NA,NA,NA
Asturias,2020-01-25,0,0,0,0,0,0,0,0,0,9,0,5.6,12.3,99,1.9,5.8,4.1,NA,NA,NA,NA,NA,NA,NA
Sevilla,2020-01-25,0,0,0,0,0,0,0,0,0,11,2.1,8,14.1,26,1.7,7.8,0.8,NA,NA,NA,NA,NA,NA,NA
Barcelona,2020-01-26,0,0,0,0,0,0,0,0,0,12.8,0,8.2,17.4,8,3.3,10.8,6,NA,NA,NA,NA,NA,NA,NA
Madrid,2020-01-26,1,1,0,0,0,0,1,0,0,7.8,0,4,11.7,23,1.9,7.8,4.2,NA,NA,NA,NA,NA,NA,NA
Málaga,2020-01-26,0,0,0,0,0,0,0,0,0,12.8,0,7.9,17.8,30,3.9,11.4,8.4,NA,NA,NA,NA,NA,NA,NA
